date,open,high,low,close,volume
2002-11-07,12.5063,12.5156,12.1875,12.3469,2460112.0
2002-11-08,12.2812,12.5531,12.2437,12.5156,1085072.0
2002-11-11,12.2812,12.5344,12.2812,12.3469,245829.0
2002-11-12,12.5437,12.5437,12.3281,12.3844,588016.0
2002-11-13,12.4688,12.7031,12.375,12.4406,3394091.0
2002-11-14,12.3938,12.5156,12.2625,12.3469,1081205.0
2002-11-15,12.4688,12.4688,12.2625,12.3094,729237.0
2002-11-18,12.4594,12.4594,12.3469,12.3656,374645.0
2002-11-20,12.4594,12.4688,12.375,12.4031,456560.0
2002-11-21,12.4688,12.4688,12.4031,12.4125,160779.0
2002-11-22,12.3938,12.4969,12.3938,12.4594,223659.0
2002-11-25,12.4688,12.6562,12.375,12.5531,462997.0
2002-11-26,12.5063,12.7312,12.5063,12.6281,424288.0
2002-11-27,12.7969,12.9,12.4688,12.4969,769904.0
2002-11-28,12.6938,12.7219,12.5156,12.5531,273557.0
2002-11-29,12.7031,12.7406,12.4781,12.675,253248.0
2002-12-02,12.8906,13.3687,12.7781,12.9375,2233701.0
2002-12-03,13.125,13.3125,12.6938,12.7688,1812939.0
2002-12-04,12.7406,12.8438,12.6187,12.7969,249525.0
2002-12-05,12.8438,12.9469,12.7688,12.9,304571.0
2002-12-06,13.4062,14.0437,13.1438,13.2469,2298443.0
2002-12-09,13.5,13.5,12.8438,12.9563,900992.0
2002-12-10,12.75,12.9375,12.675,12.8156,520869.0
2002-12-11,13.125,13.2188,12.9375,12.9656,577147.0
2002-12-12,12.9187,13.1156,12.9,12.975,378080.0
2002-12-13,12.9375,13.05,12.8813,12.9937,216821.0
2002-12-16,13.1906,13.1906,12.9375,12.975,793488.0
2002-12-17,13.1062,13.2375,12.6938,12.7969,633195.0
2002-12-18,12.7594,12.9094,12.7594,12.8156,240565.0
2002-12-19,12.7594,12.8906,12.75,12.8531,287157.0
2002-12-20,12.8906,12.9,12.7875,12.8438,209355.0
2002-12-23,12.8438,12.9375,12.7688,12.9187,542037.0
2002-12-24,12.8062,13.1156,12.7969,13.0688,404725.0
2002-12-26,13.0969,13.1719,13.0125,13.1156,407637.0
2002-12-27,13.125,13.1719,13.0312,13.1062,656997.0
2002-12-30,11.5875,13.4625,11.5875,13.3687,1357845.0
2002-12-31,12.9375,13.425,12.9375,13.1719,338197.0
2003-01-01,13.2563,13.3594,13.1719,13.2656,186827.0
2003-01-02,13.3594,13.4531,13.125,13.2469,807056.0
2003-01-03,13.6313,13.6875,13.4062,13.4812,1336571.0
2003-01-06,13.5938,13.7812,13.5,13.575,666203.0
2003-01-07,13.7812,13.7812,13.5938,13.6406,611013.0
2003-01-08,13.7719,13.7812,13.6125,13.6875,337525.0
2003-01-09,13.7719,13.7812,13.6125,13.6594,500405.0
2003-01-10,13.875,14.0063,13.5469,13.5938,335493.0
2003-01-13,13.125,13.6313,13.125,13.4344,377947.0
2003-01-14,13.5,13.5469,13.3313,13.4062,300571.0
2003-01-15,13.4812,13.5188,13.425,13.4531,189915.0
2003-01-16,13.4344,13.6594,13.4156,13.6125,352635.0
2003-01-17,13.6875,13.7812,13.5844,13.7156,596629.0
2003-01-20,13.8,14.0531,13.6031,13.8281,759973.0
2003-01-21,13.6969,13.9688,13.6969,13.8469,521467.0
2003-01-22,13.8375,13.875,13.725,13.7531,306933.0
2003-01-23,13.8281,13.8562,13.575,13.5844,240976.0
2003-01-24,13.6781,13.6781,13.3594,13.3875,334005.0
2003-01-27,13.5,13.5188,12.9563,13.125,1275669.0
2003-01-28,12.75,13.6031,12.75,13.3031,925627.0
2003-01-29,13.1438,13.1906,12.8813,13.1156,2444592.0
2003-01-30,13.125,13.4625,12.9563,13.2844,3557824.0
2003-01-31,13.2937,13.4062,13.1062,13.1344,211973.0
2003-02-03,13.2188,13.275,13.0312,13.1156,228405.0
2003-02-04,13.3875,13.4062,13.0594,13.1156,376853.0
2003-02-05,13.1625,13.3031,13.0875,13.2563,581861.0
2003-02-06,13.3125,13.3313,13.1438,13.3031,274576.0
2003-02-07,13.2375,13.3969,13.2281,13.3125,349760.0
2003-02-10,13.2375,13.3594,13.2,13.3031,286640.0
2003-02-11,13.2563,13.35,13.2094,13.3125,363701.0
2003-02-12,13.3125,13.3125,13.125,13.1344,393749.0
2003-02-14,13.0312,13.1719,12.9656,13.125,492971.0
2003-02-17,13.3125,13.3125,13.1438,13.2188,175429.0
2003-02-18,13.2188,13.3687,13.1719,13.2937,279557.0
2003-02-19,13.3875,13.7156,13.3125,13.6594,980389.0
2003-02-20,13.0688,13.8562,13.0688,13.6875,1173227.0
2003-02-21,13.5375,13.875,13.5188,13.8094,725317.0
2003-02-24,13.7812,13.9594,13.7344,13.9031,420768.0
2003-02-25,13.7063,14.2969,13.7063,14.0906,1566507.0
2003-02-26,14.0344,14.2875,13.9031,14.0531,5637253.0
2003-02-27,14.2031,14.8125,13.8375,14.6156,2958603.0
2003-02-28,14.9438,15.0469,14.4563,14.8969,6412368.0
2003-03-03,15.0,15.0,14.325,14.4375,1092912.0
2003-03-04,14.3438,14.3625,14.0063,14.0625,1883883.0
2003-03-05,13.8938,14.1375,13.875,14.0437,1572395.0
2003-03-06,13.875,14.1094,13.875,14.0625,145136.0
2003-03-07,13.9688,14.1094,13.725,13.9594,808443.0
2003-03-10,14.0344,14.0344,13.6969,13.95,835877.0
2003-03-11,13.6875,13.9406,13.6875,13.9031,226272.0
2003-03-12,13.8469,14.1375,13.8094,13.9312,371189.0
2003-03-13,13.8188,13.8938,13.6594,13.7437,626288.0
2003-03-17,13.8,13.8562,13.5938,13.7812,782843.0
2003-03-19,13.9312,14.025,13.7344,13.9219,356704.0
2003-03-20,13.8188,14.025,13.7812,13.9969,204656.0
2003-03-21,14.0156,14.1375,13.875,14.0813,220992.0
2003-03-24,14.0156,14.1,13.8938,14.0719,183093.0
2003-03-25,13.8281,14.1094,13.8281,14.0625,268085.0
2003-03-26,14.1562,14.2219,14.025,14.0437,218997.0
2003-03-27,14.1094,14.4,14.0625,14.25,477147.0
2003-03-28,14.2688,14.325,14.0625,14.0906,141872.0
2003-03-31,13.9219,14.1562,13.875,14.0437,283157.0
2003-04-01,14.1375,14.625,13.95,14.1656,946341.0
2003-04-02,14.175,14.5688,14.175,14.5125,233285.0
2003-04-03,14.7937,14.8125,14.6344,14.6906,417243.0
2003-04-04,14.7281,14.7656,14.4937,14.5594,332064.0
2003-04-07,14.7469,14.7656,14.5031,14.5969,1014581.0
2003-04-08,14.55,14.625,14.4469,14.5312,127675.0
2003-04-09,14.625,14.625,14.4,14.5219,212283.0
